SMA_200,VWAP,Fib_50,Bullish_Engulfing,Daily_Pivots,MACD,Vol_SMA,Stoch_Buy,Stoch_Sell,Avg_Overall_%,Avg_Bull_%,Avg_Bear_%,SPXL,TQQQ,SOXL,SPXS,SQQQ,SOXS
True,False,False,False,True,True,False,20,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,False,False,False,True,True,False,30,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,False,False,False,True,True,False,40,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,False,False,True,True,True,True,20,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,False,False,True,True,True,True,30,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,False,False,True,True,True,True,40,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,False,False,True,True,True,False,20,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,False,False,True,True,True,False,30,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,False,False,True,True,True,False,40,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,False,False,True,True,False,True,20,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,True,True,True,True,False,True,40,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,False,False,True,False,False,True,20,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,False,False,True,False,True,False,40,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,False,False,True,False,True,False,30,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,False,False,False,False,True,False,40,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,False,False,False,False,True,False,30,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,False,False,False,False,True,False,20,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,False,False,False,False,True,True,40,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,False,False,True,True,False,True,30,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,False,False,False,False,True,True,20,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,False,True,False,True,False,True,30,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,False,True,False,True,False,True,20,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,False,True,False,True,True,False,40,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,False,True,False,True,True,False,30,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,False,True,False,True,True,False,20,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,False,True,False,True,True,True,40,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,False,True,False,True,True,True,30,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,False,False,False,False,True,True,30,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,False,True,True,True,False,False,20,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,False,True,True,True,False,False,30,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,False,True,True,True,False,False,40,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,False,True,True,False,True,True,20,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,False,True,True,False,True,True,30,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,False,True,True,False,True,True,40,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,False,True,True,False,True,False,20,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,True,False,True,False,True,False,30,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,True,False,True,False,True,False,40,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,True,False,True,True,True,True,20,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,True,False,True,True,True,True,30,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,True,False,True,True,True,True,40,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,True,True,True,False,False,True,30,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,False,True,True,True,True,True,20,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,False,True,True,True,True,True,30,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,False,False,True,False,False,True,30,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,True,True,True,False,True,True,30,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,True,True,True,False,True,True,20,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,True,True,True,True,False,False,40,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,True,True,True,True,False,False,30,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,True,True,True,True,False,False,20,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,True,True,True,True,False,True,40,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,True,True,True,True,False,True,30,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,False,True,True,True,True,True,40,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,True,True,True,True,True,False,40,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,True,True,True,True,True,False,30,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,True,True,True,True,True,False,20,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,True,True,True,True,True,True,40,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,True,True,True,True,True,True,30,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,False,True,True,True,True,False,40,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,False,True,True,True,True,False,30,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,False,True,True,True,True,False,20,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,True,True,True,True,False,True,20,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,True,True,False,False,False,True,20,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,True,True,False,False,False,True,30,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,True,True,False,False,False,True,40,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,True,True,False,False,False,False,20,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,True,True,False,False,False,False,30,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,True,True,False,False,False,False,40,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,True,True,True,False,True,False,30,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,True,True,True,False,True,False,40,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,True,True,True,False,False,True,20,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,True,True,True,False,False,True,30,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,True,True,True,False,False,True,40,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,True,True,True,False,False,False,20,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,True,True,True,False,False,False,30,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,True,True,True,False,False,False,40,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,True,True,False,True,True,True,20,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,False,True,True,True,False,True,40,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,False,True,True,True,False,True,30,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,True,True,False,False,True,False,30,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,True,True,False,False,True,False,20,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,True,True,False,False,True,True,40,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,True,True,False,False,True,True,30,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,True,True,False,False,True,True,20,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,True,True,False,True,False,False,40,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,True,False,True,True,True,False,20,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,True,True,False,True,False,False,20,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,True,True,False,True,False,True,40,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,True,False,True,False,True,False,20,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,True,False,True,False,True,True,40,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,True,False,True,False,True,True,30,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,True,False,True,False,True,True,20,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,True,False,True,True,True,False,40,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,True,False,True,True,True,False,30,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,True,True,False,True,False,False,30,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,False,False,True,False,True,True,40,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,False,False,True,False,True,True,30,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,False,False,True,False,True,True,20,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,False,False,True,True,True,False,40,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,True,True,False,True,False,False,30,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,True,True,False,True,False,False,20,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,True,True,False,True,False,True,40,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,True,False,True,False,True,False,20,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,True,True,True,False,True,True,40,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,True,False,True,False,True,True,30,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,True,False,True,False,True,True,20,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,True,False,True,True,False,True,40,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,True,False,True,True,False,True,30,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,True,False,True,True,False,True,20,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,True,False,True,True,True,False,40,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,True,False,True,True,True,False,30,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,True,False,True,True,True,False,20,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,True,False,True,False,True,True,40,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,True,False,False,False,True,True,20,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,False,True,False,False,False,False,40,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,False,True,False,False,False,False,30,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,False,True,False,False,False,False,20,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,False,True,False,False,False,True,40,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,False,True,False,False,False,True,30,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,True,False,False,True,True,False,40,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,True,False,False,True,True,False,30,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,False,False,True,False,True,False,20,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,True,False,False,True,True,True,40,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,True,False,False,True,True,True,30,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,True,False,False,True,True,True,20,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,True,False,True,False,False,True,40,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,True,False,True,False,False,True,30,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,True,False,True,False,False,True,20,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,True,False,True,False,True,False,40,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,True,False,True,False,True,False,30,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,True,False,False,True,True,False,20,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,True,True,True,False,True,False,20,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,False,False,True,False,True,False,40,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,False,False,True,False,True,False,30,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,True,True,False,True,False,True,30,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,True,True,False,True,False,True,20,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,True,True,False,True,True,False,40,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,True,True,False,True,True,False,30,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,True,True,False,True,True,False,20,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,True,False,True,True,True,True,40,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,True,True,False,True,True,True,30,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,True,True,False,True,True,True,20,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,True,True,True,False,False,False,40,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,True,True,True,False,False,False,30,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,True,True,True,False,False,False,20,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,True,True,True,False,False,True,40,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,True,True,True,True,True,True,20,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,False,True,True,True,False,True,20,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,True,True,False,True,True,True,40,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,True,False,True,True,True,True,30,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,True,False,True,True,True,True,20,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,True,True,True,False,False,True,20,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,True,True,True,False,True,False,40,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,True,True,True,False,True,False,30,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,True,True,False,False,False,False,40,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,True,True,False,False,False,False,30,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,True,True,False,False,False,False,20,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,True,True,False,True,False,False,40,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,True,True,False,False,False,True,30,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,True,True,False,False,False,True,20,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,True,True,False,False,True,False,40,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,True,True,False,False,True,False,30,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,True,True,False,False,True,False,20,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,True,True,False,False,True,True,40,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,True,True,False,False,True,True,30,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,True,True,False,False,True,True,20,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,True,True,False,False,False,True,40,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,False,True,True,False,False,False,40,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,False,True,True,False,False,False,30,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,False,True,True,False,False,False,20,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,False,True,True,False,False,True,40,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,False,True,True,False,False,True,30,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,False,True,True,False,False,True,20,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,False,True,True,False,True,False,40,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,False,True,True,False,True,False,30,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,True,False,False,False,True,True,30,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,False,True,False,False,False,False,30,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,False,True,False,False,False,False,20,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,False,True,False,False,False,True,40,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,False,True,False,False,False,True,30,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,False,True,True,True,False,False,30,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,False,True,True,True,False,False,20,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,False,True,True,True,False,True,40,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,False,True,True,True,False,True,30,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,False,True,False,False,False,False,40,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,False,True,False,False,True,False,40,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,False,True,False,False,True,False,30,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,False,True,False,False,True,False,20,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,False,True,False,False,True,True,40,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,False,True,False,False,True,True,30,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,False,True,False,False,True,True,20,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,False,True,False,True,False,False,40,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,False,True,False,True,False,False,30,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,False,True,False,True,True,True,20,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
